utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;svalm2;haednr;fjibmhl;top_floor;two_storey;storeys_3;lyftuhus;age_studull;bath_fixtures;fjbilsk;lodpflm;innig_factor;nybygging;fjarmalastofnunselur;hverfi;gata
29/03/2014;15700;15580;1200;99.7;0;0;0;0;0;6.4;2;10;0;0;0;0;9;2;0;227;1;0;1;2010;0
10/05/2015;19000;18866;1200;99.7;0;0;0;0;0;0;1;10;0;0;0;0;9;3;0;172;1;0;0;2010;0
14/05/2015;11900;11883;1200;67.8;0;0;0;0;6;5.9;1;5;0;0;0;0;31;2;0;168;0.85;0;1;2010;0
12/06/2015;19200;19190;1200;99.7;0;0;0;0;0;6.4;2;10;0;0;0;0;10;2;0;227;1;0;0;2010;0
04/10/2015;20500;20469;1200;99.7;0;0;0;0;0;0;1;10;0;0;0;0;10;2;0;211;1;0;0;2010;0
06/04/2016;14400;14400;1200;91.4;0;0;0;0;4.9;4.8;2;5;0;1;0;0;46;3;0;167.6;1;0;1;2010;0
29/04/2016;21500;21399;1200;99.7;0;0;0;0;0;6.4;2;10;0;0;0;0;11;2;0;216;1;0;0;2010;0
28/05/2016;17300;17286;1200;97.8;0;0;0;0;8.5;0;1;5;0;0;0;0;46;3;0;203.7;1;0;0;2010;0
11/08/2016;18500;18444;1200;76.1;0;0;0;0;0;5.6;2;10;0;0;0;0;11;2;0;168;1;0;0;2010;0
14/09/2016;14000;13993;1200;67.8;0;0;0;0;6;5.9;1;5;0;0;0;0;32;2;0;168;0.85;0;0;2010;0
30/09/2016;19800;19754;1200;145.9;0;0;0;55.7;1.9;6.5;2;5;0;1;0;0;46;2;0;335.9;1;0;1;2010;0
13/08/2017;23400;23386;1200;76.1;0;0;0;0;0;5.6;2;10;0;0;0;0;12;2;0;176;1;0;0;2010;0
07/10/2017;22200;22193;1200;66.7;0;0;0;0;0;0;1;10;0;0;0;0;12;2;0;143;1;0;0;2010;0
22/10/2017;29000;28981;1200;99.7;0;0;0;0;0;6.4;2;10;0;0;0;0;12;2;0;227;1;0;0;2010;0
15/12/2017;30000;29948;1200;99.7;0;0;0;0;0;0;1;10;0;0;0;0;12;2;0;211;1;0;0;2010;0
15/03/2018;19000;18984;1200;67.8;0;0;0;0;4.2;5.9;2;5;0;0;0;0;34;2;0;164;0.85;0;0;2010;0
31/05/2018;26500;26449;1200;78;0;0;0;0;0;5.6;3;10;0;0;0;0;12;3;0;138;1;0;0;2010;0
08/06/2018;27600;27598;1200;78;0;0;0;0;0;5.6;3;10;0;0;0;0;13;2;0;176;1;0;0;2010;0
05/07/2018;21500;21493;1200;83.7;0;0;0;0;0;0;1;5;0;0;0;0;48;2;0;168.1;1;0;0;2010;0
