utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;two_livunits;two_storey;storeys_3;age_studull;not_concrete;stud1house;bath_fixtures;fjbilsk;lodpflm;landratio;innig_factor;utig_factor;fjarmalastofnunselur;hverfi;gata
17/11/2016;33500;33488;1122_1125;138.9;0;0;0;40;0;0;0;0;13;0;1;2;0;546;0.738;1;1;0;2010;0
05/09/2018;33500;33460;1122_1125;107.1;0;0;0;30;0;0;0;0;17;0;1;2;0;546;0.738;1;1;0;2010;0
30/08/2015;27500;27469;1122_1125;107.1;0;0;0;30;0;0;0;0;14;0;1;3;0;544;0.735;1;1;0;2010;0
22/02/2017;36625;36625;1111;221.5;0;0;0;37.4;8.4;0;0;0;15;0;1.042;5;0;900;1.216;1;1;1;2010;0
26/03/2017;35000;34930;1122_1125;107.1;0;0;0;30;0;0;0;0;16;0;1;2;0;546;0.738;1;1;0;2010;0
16/07/2015;26000;25677;1122_1125;138.9;0;0;0;40;0;0;0;0;12;0;1;2;0;546;0.738;1;1;1;2010;0
12/05/2016;27100;27096;1111;134;0;0;0;66.4;0;0;0;0;38;0;1.045;3;0;840;1.135;1;1.04;1;2010;0
05/10/2019;48000;47978;1111;119.8;0;0;0;41.7;0;0;0;0;46;1;1.131;2;0;811;1.096;1.04;0.96;0;2010;0
06/11/2016;29500;29304;1121_1123;76.1;0;0;0;35.9;0;0;0;0;26;0;1;2;0;288;0.389;0.96;0.96;0;2010;0
11/01/2019;39900;39890;1111;125.4;0;0;0;30.6;0;0;0;0;41;0;1.094;3;0;840;1.135;1.19;1;0;2010;0
17/10/2018;29950;29950;1122_1125;104.9;0;0;0;0;0;0;0;0;37;1;1;3;0;375;0.507;1;1;0;2010;0
12/04/2015;18500;18500;1121_1123;76.1;0;0;0;35.9;0;0;0;0;25;0;1;2;0;288;0.389;1.15;1;1;2010;0
18/04/2015;24000;23918;1111;143.2;25.3;0;0;50.9;0;0;1;0;35;0;1.04;5;0;840;1.135;0.94;0.96;1;2010;0
01/12/2018;44000;41000;1111;140.8;30.8;0;0;32.1;0;0;1;0;45;0;1.266;4;0;900;1.216;0.99;1;0;2010;0
13/03/2015;16285;15345;1122_1125;77.4;0;0;0;32;0;0;0;0;26;0;1;2;0;381;0.515;1;1;0;2010;0
13/01/2019;30400;30400;1122_1125;99.2;0;0;0;0;0;0;0;0;38;1;1;2;0;411;0.555;1;1;0;2010;0
24/09/2017;33000;32947;1121_1123;77.4;0;0;0;35.9;0;0;0;0;27;0;1;2;0;384;0.519;1;0.96;0;2010;0
23/06/2016;33000;32959;1111;214.5;0;0;0;38.5;0;0;1;0;15;0;1.431;3;0;840;1.135;1;1;0;2010;0
07/11/2015;19500;19422;1126;115.4;0;0;0;44.6;0;0;0;0;36;0;1;2;0;549;0.742;1;1;1;2010;0
07/02/2019;52000;51993;1126;115.4;0;0;0;44.6;0;0;0;0;40;0;1;2;0;549;0.742;1;1;0;2010;0
25/07/2018;23800;23668;1126;88.2;88.2;0;0;0;0;0;0;0;39;0;1;2;0;291;0.393;1;1;0;2010;0
18/03/2017;18500;18486;1126;88.2;88.2;0;0;0;0;0;0;0;38;0;1;2;0;291;0.393;1;1;0;2010;0
31/08/2016;23750;23714;1122_1125;77.4;0;0;0;31.8;0;0;0;0;27;0;1;2;0;381;0.515;0.96;1;0;2010;0
10/08/2014;18700;17989;1121_1123;77.4;0;0;0;33.2;0;0;0;0;24;0;1;2;0;370;0.5;0.89;0.96;0;2010;0
13/12/2018;34000;33557;1121_1123;77.4;0;0;0;33.2;0;0;0;0;28;0;1;2;0;370;0.5;0.89;0.96;0;2010;0
24/11/2016;16900;16893;1111;73.7;0;0;0;0;0;0;0;0;68;0;1.069;2;0;1020;1.378;0.78;0.89;0;2010;0
14/10/2015;34000;33898;1111;142.6;0;0;0;52.8;0;0;0;0;29;0;1.038;3;0;840;1.135;1.15;0.96;0;2010;0
14/10/2015;8500;8500;1126;102.2;0;0;0;0;0;0;0;0;79;0.5;1;2;0;476;0.643;1.04;1;1;2010;0
11/01/2018;10000;10000;1126;102.2;0;0;0;0;0;0;0;0;79;0.5;1;2;0;476;0.643;1.15;1;0;2010;0
10/02/2017;30000;29993;1111;112;0;0;0;0;0;0;0;0;29;1;1.039;2;0;725;0.98;1.15;1;0;2010;0
20/08/2015;26300;26259;1111;136;0;0;0;46.1;0;0;0;0;33;1;1.132;3;0;725;0.98;1.04;1;0;2010;0
24/05/2019;51000;50752;1111;131.2;0;0;0;36.3;0;0;0;0;36;0;1.056;4;0;725;0.98;1.11;1.08;0;2010;0
18/02/2018;39700;39659;1111;136;0;0;0;50;0;0;0;0;29;1;1.136;3;0;725;0.98;1;1;0;2010;0
21/08/2014;19500;19479;1111;170.3;0;47.5;0;49.5;0;0;1;0;24;0.5;1.56;4;0;725;0.98;0.99;0.94;0;2010;0
13/09/2015;25500;25335;1111;170.3;0;47.5;0;49.5;0;0;1;0;25;0.5;1.56;4;0;725;0.98;0.99;0.94;0;2010;0
12/08/2018;28500;28458;1111;103;0;0;0;41.6;0;0;0;0;50;0;1.168;2;0;1244;1.681;0.89;0.96;1;2010;0
23/04/2017;44000;43954;1111;167.5;0;0;0;63;0;0;0;0;16;0;1.105;4;0;1190;1.608;1;1;0;2010;0
05/07/2017;30190;30190;1111;156;0;0;0;0;0;0;0;0;27;0;1.247;3;0;990;1.338;1;1;1;2010;0
12/01/2018;38900;38893;1111;156;0;0;0;0;0;0;0;0;28;0;1.247;3;0;990;1.338;1;1;0;2010;0
16/11/2017;25000;24989;1126;112.1;0;0;1.6;57.2;0;0;0;0;65;0;1;2;0;613.1;0.829;1;1;0;2010;0
09/06/2018;37500;37464;1111;169;0;0;0;39.2;0;0;1;0;58;1;1.004;3;0;925;1.25;0.87;0.96;1;2010;0
27/11/2016;34200;33686;1111;120.9;0;0;0;42.1;0;0;0;0;45;1;1.048;2;0;785;1.061;1.04;0.96;0;2010;0
20/06/2015;24000;23671;1111;162.4;0;0;0;43.8;0;0;0;0;49;0;1.232;3;0;930;1.257;1;1;0;2010;0
09/12/2015;24000;23430;1111;162.4;0;0;0;43.8;0;0;0;0;49;0;1.232;3;0;930;1.257;1;1;0;2010;0
25/09/2019;47000;46888;1111;117.5;0;0;0;54.4;0;0;0;0;43;0;1.063;2;0;900;1.216;1.3;1.15;0;2010;0
09/11/2018;9800;9800;1126;77.4;0;0;0;0;0;0;0;0;53;0;1;2;0;267.9;0.362;1;1;0;2010;0
17/07/2016;36500;36493;1111;146;0;0;0;34.5;9.6;0;0;0;11;0;1.157;4;0;799;1.08;1;1;0;2010;0
01/06/2018;38000;37889;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;13;0;1;2;0;658;0.889;1;1;0;2010;0
08/06/2016;40000;39990;1111;177.7;0;0;0;0;0;0;0;0;25;1;1.121;4;0;1020;1.378;1.11;1;0;2010;0
08/02/2020;44300;44279;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;14;0;1;3;0;691;0.934;1;1;0;2010;0
